Treatment Effect,Lower Treatment Effect,Upper Treatment Effect
-0.17451101794338758,-0.22231401032522474,-0.12670802556155042
-0.0810422279840247,-0.276246187100477,0.11416173113242745
-0.1983822167929035,-0.3045526211289815,-0.09221181245682558
-0.17292084545006342,-0.24171618513834858,-0.10412550576177812
-0.09589499682259431,-0.19533186063003952,0.0035418669848509
-0.059548082597246074,-0.20917368995468538,0.09007752476019316
-0.16685087911413687,-0.31013590324390083,-0.02356585498437297
-0.11172658518234221,-0.2316291714074103,0.008176001042725922
-0.053899904963814874,-0.23375973139062495,0.12595992146299517
-0.20561185877601232,-0.29767646948558074,-0.11354724806644391
-0.19259640073660275,-0.3376511185351869,-0.047541682938018776
-0.16846265387076342,-0.3000250756064332,-0.036900232135093636
-0.14184273705742856,-0.21435631362139806,-0.06932916049345912
-0.19100380112164708,-0.2890915530232179,-0.0929160492200763
-0.20503663105285563,-0.31077270997152606,-0.0993005521341859
-0.1845542458168717,-0.26186448964329045,-0.10724400199045295
-0.1605954315868606,-0.21632791684244385,-0.10486294633127735
-0.18842925886521716,-0.2803316537064573,-0.09652686402397695
-0.14407569803496256,-0.31143447476696684,0.023283078697041715
-0.19577913943493266,-0.2462170184276856,-0.14534126044217976
-0.1610749870691262,-0.2767880763112617,-0.04536189782699081
-0.18871040515522877,-0.2672457114433346,-0.11017509886712291
-0.12826574278417688,-0.28604859208710165,0.029517106518747838
-0.10106193231604527,-0.19757051670561548,-0.004553347926475007
-0.18986309938396762,-0.255898928860997,-0.12382726990693828
-0.1768018351756908,-0.24354899165688282,-0.1100546786944985
-0.17176135398256043,-0.2481504401517417,-0.09537226781337918
-0.12428914951556191,-0.2591281263710936,0.01054982733996948
-0.14750363576332196,-0.24832780880188934,-0.04667946272475465
-0.13144143330051097,-0.2355163306439183,-0.027366535957103824
-0.12040554076580019,-0.23934310997084737,-0.0014679715607529287
-0.1855842388514823,-0.23835004784549663,-0.132818429857468
-0.022703719881804946,-0.2993555954776243,0.2539481557140145
-0.16488850723312093,-0.2717241368554885,-0.05805287761075331
-0.1528899325767867,-0.2058637910929937,-0.09991607406057973
-0.16140149061753636,-0.25925464597408465,-0.06354833526098796
-0.16222311380150425,-0.24258781102424448,-0.081858416578764
-0.18112145843370517,-0.23488783437667174,-0.1273550824907387
